Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
framworkDemo,Chrome 66.0.3359.139,,2018-05-03 19:15:03,2018-05-03 19:16:17,1m - 13.594s,ERROR
,,,,,,
Test Cases/Test/oneWayFlight,Chrome 66.0.3359.139,Reserve a flight,2018-05-03 19:15:04,2018-05-03 19:15:25,21.752s,ERROR
callTestCase,Chrome 66.0.3359.139,,2018-05-03 19:15:04,2018-05-03 19:15:25,20.991s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 19:15:25,2018-05-03 19:15:25,0.062s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:15:25,2018-05-03 19:15:25,0.183s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:15:25,2018-05-03 19:15:25,0.006s,PASSED
,,,,,,
Test Cases/Test/oneWayFlight,Chrome 66.0.3359.139,Reserve a flight,2018-05-03 19:15:25,2018-05-03 19:15:48,22.833s,ERROR
callTestCase,Chrome 66.0.3359.139,,2018-05-03 19:15:25,2018-05-03 19:15:48,22.568s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 19:15:48,2018-05-03 19:15:48,0.056s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:15:48,2018-05-03 19:15:48,0.176s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:15:48,2018-05-03 19:15:48,0.003s,PASSED
,,,,,,
Test Cases/Test/oneWayFlight,Chrome 66.0.3359.139,Reserve a flight,2018-05-03 19:15:48,2018-05-03 19:16:17,28.509s,ERROR
callTestCase,Chrome 66.0.3359.139,,2018-05-03 19:15:48,2018-05-03 19:16:16,28.236s,PASSED
click,Chrome 66.0.3359.139,,2018-05-03 19:16:16,2018-05-03 19:16:16,0.079s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:16:16,2018-05-03 19:16:17,0.166s,PASSED
selectOptionByValue,Chrome 66.0.3359.139,,2018-05-03 19:16:17,2018-05-03 19:16:17,0.002s,PASSED
